Time (s),Signal 1 (A),Signal 2 (A),Signal 3 (A),Peak (A),Signal Angle (deg),Delta t (s),DFT1 Real,DFT1 Imag,DFT1 Magnitude,DFT1 Phase (deg),DFT1 RMS,PMU1 Sync Offset,PMU1 Mag Noise,PMU1 Phase Noise,PMU1 Clock Drift,PMU1 Packet Loss,PMU1 Bad Data,DFT2 Real,DFT2 Imag,DFT2 Magnitude,DFT2 Phase (deg),DFT2 RMS,PMU2 Sync Offset,PMU2 Mag Noise,PMU2 Phase Noise,PMU2 Clock Drift,PMU2 Packet Loss,PMU2 Bad Data,DFT3 Real,DFT3 Imag,DFT3 Magnitude,DFT3 Phase (deg),DFT3 RMS,PMU3 Sync Offset,PMU3 Mag Noise,PMU3 Phase Noise,PMU3 Clock Drift,PMU3 Packet Loss,PMU3 Bad Data
0.026000000000000002,9.510565162951531,8.090169943749466,4.890810721298177,10,108.00000000000006,0.001,80.90169943749473,58.77852522924732,9.999774162414639,36.185185191432616,7.071067811865475,0.16172177186268408,-0.00022583758536195105,0.022943419569915715,0.0005200000000000001,False,False,58.77852522924728,80.90169943749476,10.002512107965519,52.34368751531666,7.071067811865475,-1.9402401017235513,0.0025121079655185024,0.28340761704018175,0.0005200000000000001,False,False,18.032445925907126,98.55144313567881,10.026126222362508,81.0995284506782,7.084333437309293,1.7877275635101635,0.007365794946499664,-0.3197283822339261,0.0005200000000000001,False,False
0.027,8.090169943749476,5.877852522924734,1.9706799013351064,10,126.0,0.001,58.7785252292473,80.90169943749474,9.98973921957494,54.05542292762973,7.071067811865475,0.16172177186268408,-0.010260780425061013,-0.10683884423296924,0.00054,False,False,30.901699437494702,95.10565162951536,10.009576613514923,70.18561450513906,7.071067811865475,-1.9402401017235513,0.009576613514923863,0.1253146068625711,0.00054,False,False,-13.020224032266512,99.39259236388352,10.034018500925477,99.49158603774448,7.0881639550251405,1.7877275635101635,0.009840903404805182,0.24018649475349188,0.00054,False,False
0.028,5.877852522924734,3.090169943749478,-1.140574137568008,10,144.0,0.001,30.90169943749473,95.10565162951536,9.99599467881675,71.9375786940157,7.071067811865475,0.16172177186268408,-0.00400532118325046,-0.22470307784699367,0.0005600000000000001,False,False,-3.375077994860476e-14,100.0,9.999122146085934,88.0597072601506,7.071067811865475,-1.9402401017235513,-0.0008778539140665728,-0.0006126381258710475,0.0005600000000000001,False,False,-42.81115449200741,90.59736892681332,10.017477431890795,116.84730153989182,7.085435133215054,1.7877275635101635,-0.002841028816752419,-0.23373547542453643,0.0005600000000000001,False,False
0.029,3.090169943749478,-1.4089627996560444e-14,-4.14125349318564,10,162.0,0.001,-3.9968028886505635e-15,100.0,10.003882514071215,89.91311600261821,7.071067811865475,0.16172177186268408,0.0038825140712149394,-0.24918576924447594,0.00058,False,False,-30.901699437494777,95.10565162951534,10.005388787694956,106.14768358634875,7.071067811865475,-1.9402401017235513,0.00538878769495636,0.08734368807226633,0.00058,False,False,-68.45196013940836,73.01832094687842,10.00842481547499,134.49182160542333,7.0771979062438595,1.7877275635101635,-0.0002444471335482552,-0.4477415087787945,0.00058,False,False
0.03,3.673940397442059e-15,-3.0901699437494705,-6.7403689309547135,10,180.0,0.001,-30.901699437494745,95.10565162951535,9.99300118227066,108.11579792944119,7.071067811865475,0.16172177186268408,-0.006998817729339797,-0.046523842421508935,0.0006,False,False,-58.778525229247336,80.90169943749471,9.996195176966808,124.00724994519443,7.071067811865475,-1.9402401017235513,-0.0038048230331931237,-0.05310995308205166,0.0006,False,False,-87.45646698803495,48.359677465592924,9.994118275004332,152.60277153058095,7.0665734350551475,1.7877275635101635,0.00047428364391218555,-0.24484306638043743,0.0006,False,False
0.031,-3.0901699437494705,-5.877852522924728,-8.685859382281153,10,198.0,0.001,-58.77852522924731,80.90169943749474,10.004142418282981,126.02960370623877,7.071067811865475,0.16172177186268408,0.004142418282982095,-0.13273806562391408,0.00062,False,False,-80.90169943749476,58.77852522924728,9.99730957897564,141.77991673974208,7.071067811865475,-1.9402401017235513,-0.002690421024359666,-0.2804631585343755,0.00062,False,False,,,,,,1.7877275635101635,0.0008898962027039739,0.10689685983809522,0.00062,True,False
0.032,-5.877852522924728,-8.090169943749482,-9.789038674469676,10,216.0,0.001,-80.90169943749473,58.778525229247315,10.0049699693782,144.22725980866886,7.071067811865475,0.16172177186268408,0.004969969378200161,0.06489803680617467,0.00064,False,False,-95.10565162951536,30.901699437494706,9.999901913479746,160.1731013665354,7.071067811865475,-1.9402401017235513,-9.808652025270915e-05,0.11270146825892056,0.00064,False,False,-99.00709847681533,-12.178789881121151,9.97302085232944,-170.88676763257817,7.053626185078959,1.7877275635101635,-0.002312962519218689,0.31218207116327595,0.00064,False,False
0.033,-8.090169943749482,-9.51056516295154,-9.942898275895352,10,234.0,0.001,-95.10565162951536,30.90169943749474,9.993407952229113,162.30944221530396,7.071067811865475,0.16172177186268408,-0.006592047770886469,0.147060443441264,0.00066,False,False,-100.0,-3.952393967665557e-14,10.000685311387544,-181.682858901941,7.071067811865475,-1.9402401017235513,0.0006853113875440537,0.2567211997825353,0.00066,False,False,-90.4325978560114,-42.18886972186195,9.980958571946097,-153.29407852063585,7.056187172756728,1.7877275635101635,0.0020029735904668862,-0.09259083986003115,0.00066,False,False
0.034,-9.51056516295154,-10.0,-9.132490403227639,10,252.0,0.001,-100.0,-2.6645352591003757e-15,9.983292518682784,-179.66804826426437,7.071067811865475,0.16172177186268408,-0.01670748131721599,0.16954996387296334,0.00068,False,False,-95.10565162951534,-30.90169943749478,9.991730411622235,-163.9602799682168,7.071067811865475,-1.9402401017235513,-0.008269588377764776,-0.020719866493261924,0.00068,False,False,-73.08933820234601,-68.10816836241787,9.984230639793553,-135.32270500792555,7.064267108674605,1.7877275635101635,-0.006151713520244564,-0.09066825231054076,0.00068,False,False
0.035,-10.0,-9.510565162951533,-7.436383693189929,10,270.0000000000001,0.001,-95.10565162951535,-30.901699437494745,9.99725351860505,-162.11220691504255,7.071067811865475,0.16172177186268408,-0.002746481394950038,-0.2746286869052336,0.0007000000000000001,False,False,-80.9016994374947,-58.77852522924734,9.998928146524158,-145.89652685804998,7.071067811865475,-1.9402401017235513,-0.0010718534758416233,0.04301324367355153,0.0007000000000000001,False,False,-48.65867106542281,-87.42332681681637,10.010694633209077,-117.20027153948492,7.0747806826688615,1.7877275635101635,0.00544384096358851,0.11103649059252103,0.0007000000000000001,False,False
0.036000000000000004,-9.510565162951533,-8.090169943749467,-5.019049346024249,10,288.0000000000001,0.001,-80.90169943749474,-58.77852522924732,9.995434323010558,-143.80264389268396,7.071067811865476,0.16172177186268408,-0.004565676989443639,0.03491433545335889,0.00072,False,False,-58.77852522924727,-80.90169943749476,9.99613279914865,-128.10175561371332,7.071067811865475,-1.9402401017235513,-0.003867200851349747,-0.16223551198981445,0.00072,False,False,-19.509285269173276,-98.2612767084996,10.01691612896434,-99.39882783216733,7.083745729519909,1.7877275635101635,-0.0010131541252102858,0.04247574381115399,0.00072,False,False
0.037,-8.090169943749476,-5.8778525229247345,-2.114915254709384,10,306.0,0.001,-58.778525229247315,-80.90169943749474,10.006662650200656,-126.0549057338676,7.071067811865476,0.16172177186268408,0.006662650200655213,-0.21736750573027905,0.00074,False,False,-30.901699437494713,-95.10565162951536,9.985835804515464,-109.65087986621614,7.071067811865475,-1.9402401017235513,-0.014164195484535425,0.2886202355073901,0.00074,False,False,11.532429327025397,-99.57090713064625,10.020668324012936,-81.54306579317108,7.0877931942892545,1.7877275635101635,-0.0029849386466499163,0.061833228702342695,0.00074,False,False
0.038,-5.8778525229247345,-3.090169943749479,0.9943661670026499,10,324.0,0.001,-30.901699437494756,-95.10565162951536,10.000081089562688,-107.93781496288577,7.071067811865475,0.16172177186268408,8.108956268750217e-05,-0.10029673474843429,0.00076,False,False,1.9539925233402755e-14,-100.0,9.999126013419986,-91.93358153629387,7.071067811865475,-1.9402401017235513,-0.0008739865800139651,0.005898565429657984,0.00076,False,False,41.456423306334145,-91.22503901341439,10.01889250750192,-64.01848231095632,7.085422632543856,1.7877275635101635,-0.0014082745868783419,-0.2459776478103647,0.00076,False,False
0.039,-3.090169943749479,-4.898587196589413e-15,4.007232352714646,10,342.0,0.001,-1.4210854715202004e-14,-100.00000000000001,9.993670868782697,-89.96394368300997,7.071067811865476,0.16172177186268408,-0.006329131217303911,-0.1264454548726462,0.00078,False,False,30.90169943749476,-95.10565162951536,10.005518202248135,-73.94972259275153,7.071067811865475,-1.9402401017235513,0.005518202248134381,-0.01026249102798153,0.00078,False,False,67.36086495036886,-74.03281064960771,10.010817156996618,-45.902586332875956,7.077550133889021,1.7877275635101635,0.001649769275247993,0.01051903414180842,0.00078,False,False
0.04,-4.898587196589413e-15,3.090169943749486,6.63145834057506,10,0.0,0.001,30.90169943749473,-95.10565162951536,9.998934462244758,-71.29016406288416,7.071067811865475,0.16172177186268408,-0.0010655377552422729,0.5473141652531721,0.0008,False,False,58.778525229247336,-80.90169943749473,9.99824568191383,-55.89058571913273,7.071067811865476,-1.9402401017235513,-0.001754318086172448,0.048854382590813115,0.0008,False,False,86.73355068031326,-49.66126481199824,9.992802339764282,-28.043710216284843,7.067159979914805,1.7877275635101635,-0.0016711512916042144,-0.03796264981279764,0.0008,False,False
0.041,3.090169943749486,5.877852522924742,8.612501267461505,10,18.0,0.001,58.77852522924731,-80.90169943749477,9.999875746022722,-53.77995920536422,7.071067811865477,0.16172177186268408,-0.00012425397728068265,0.05749902277310869,0.0008200000000000001,False,False,80.90169943749476,-58.778525229247286,9.998496152090588,-37.789799127301585,7.071067811865475,-1.9402401017235513,-0.0015038479094121645,0.14962097442195887,0.0008200000000000001,False,False,97.69555738882555,-20.473733127627597,9.988309595874462,-9.7325829456593,7.05818520644458,1.7877275635101635,0.006528351179392318,0.314867504328418,0.0008200000000000001,False,False
