
==============================================
 Automatic PDC Monitoring
==============================================
CSV samples             : 10000
Valid DSSE samples      : 9981
PDC scan rate           : 50.0 Hz
Scan interval           : 20 samples
First evaluated sample  : 19
Last evaluated sample   : 9999
Evaluation points       : 500

----------------------------------------------
 Robust Chi-Square Calibration
----------------------------------------------
Degrees of freedom      : 6
Theoretical threshold   : 12.591587
Baseline median J       : 810.358504
Baseline MAD            : 794.597088
MAD scale factor        : 1.4826
Robust sigma multiplier : 6.0
Operating threshold     : 7878.776356
Truth window            : 20 raw samples
Ground truth flags       : Bad Data / Sync Fault / Clock Drift
Ground truth is used only for post-run evaluation.
----------------------------------------------

[FAULT EVENT] t=6.399 s | Detected=PMU2 | Actual=PMU2[CLOCK_DRIFT] | J=296864.1646 | corrected=8.9955 | reduction=1.000

[FAULT EVENT] t=6.459 s | Detected=PMU2 | Actual=PMU2[CLOCK_DRIFT] | J=299628.2817 | corrected=16.1011 | reduction=1.000

[FAULT EVENT] t=6.519 s | Detected=PMU2 | Actual=PMU2[CLOCK_DRIFT] | J=308276.4024 | corrected=10.0726 | reduction=1.000

[FAULT EVENT] t=6.579 s | Detected=PMU2 | Actual=PMU2[CLOCK_DRIFT] | J=332004.9203 | corrected=7.7318 | reduction=1.000

[FAULT EVENT] t=6.639 s | Detected=PMU2 | Actual=PMU2[CLOCK_DRIFT] | J=289564.8281 | corrected=13.0662 | reduction=1.000

[FAULT EVENT] t=6.699 s | Detected=PMU2 | Actual=PMU2[CLOCK_DRIFT] | J=348572.8425 | corrected=13.5062 | reduction=1.000

[FAULT EVENT] t=6.759 s | Detected=PMU2 | Actual=PMU2[CLOCK_DRIFT] | J=355726.3771 | corrected=12.4698 | reduction=1.000

[FAULT EVENT] t=6.819 s | Detected=PMU2 | Actual=PMU2[CLOCK_DRIFT] | J=277397.9936 | corrected=16.3314 | reduction=1.000

[FAULT EVENT] t=6.879 s | Detected=PMU2 | Actual=PMU2[CLOCK_DRIFT] | J=185948.3225 | corrected=15.0718 | reduction=1.000

[FAULT EVENT] t=6.939 s | Detected=PMU2 | Actual=PMU2[CLOCK_DRIFT] | J=187052.0971 | corrected=14.6347 | reduction=1.000

[FAULT EVENT] t=6.999 s | Detected=PMU2 | Actual=PMU2[CLOCK_DRIFT] | J=188992.0419 | corrected=11.3021 | reduction=1.000

[FAULT EVENT] t=7.059 s | Detected=PMU2 | Actual=PMU2[CLOCK_DRIFT] | J=190467.4904 | corrected=13.2500 | reduction=1.000

[FAULT EVENT] t=7.119 s | Detected=PMU2 | Actual=PMU2[CLOCK_DRIFT] | J=191937.6513 | corrected=9.5839 | reduction=1.000

[FAULT EVENT] t=7.179 s | Detected=PMU2 | Actual=PMU2[CLOCK_DRIFT] | J=192310.6976 | corrected=12.2390 | reduction=1.000

[FAULT EVENT] t=7.239 s | Detected=PMU2 | Actual=PMU2[CLOCK_DRIFT] | J=193176.5951 | corrected=9.7735 | reduction=1.000

[FAULT EVENT] t=7.299 s | Detected=PMU2 | Actual=PMU2[CLOCK_DRIFT] | J=193527.5018 | corrected=11.2473 | reduction=1.000

[FAULT EVENT] t=7.359 s | Detected=PMU2 | Actual=PMU2[CLOCK_DRIFT] | J=193446.9823 | corrected=12.6576 | reduction=1.000

[FAULT EVENT] t=7.419 s | Detected=PMU2 | Actual=PMU2[CLOCK_DRIFT] | J=193271.5523 | corrected=8.4416 | reduction=1.000

[FAULT EVENT] t=7.479 s | Detected=PMU2 | Actual=PMU2[CLOCK_DRIFT] | J=192054.1673 | corrected=17.9341 | reduction=1.000

[FAULT EVENT] t=7.539 s | Detected=PMU2 | Actual=PMU2[CLOCK_DRIFT] | J=249994.1780 | corrected=16.4840 | reduction=1.000

[FAULT EVENT] t=7.599 s | Detected=PMU2 | Actual=PMU2[CLOCK_DRIFT] | J=377400.7255 | corrected=12.7674 | reduction=1.000

[FAULT EVENT] t=7.659 s | Detected=PMU2 | Actual=PMU2[CLOCK_DRIFT] | J=188390.4213 | corrected=12.0368 | reduction=1.000

[FAULT EVENT] t=7.719 s | Detected=PMU2 | Actual=PMU2[CLOCK_DRIFT] | J=353657.5337 | corrected=10.5727 | reduction=1.000

[FAULT EVENT] t=7.779 s | Detected=PMU2 | Actual=PMU2[CLOCK_DRIFT] | J=872929.9498 | corrected=6.4441 | reduction=1.000

[FAULT EVENT] t=7.839 s | Detected=PMU2 | Actual=PMU2[CLOCK_DRIFT] | J=132088.3318 | corrected=11.6500 | reduction=1.000

[FAULT EVENT] t=7.899 s | Detected=PMU2 | Actual=PMU2[CLOCK_DRIFT] | J=365860.8302 | corrected=16.8069 | reduction=1.000

[FAULT EVENT] t=7.979 s | Detected=PMU2 | Actual=PMU2[CLOCK_DRIFT] | J=358276.9896 | corrected=7.2762 | reduction=1.000

==============================================
 Automatic Monitoring Summary
==============================================
Evaluation points       : 500
Global chi-square fails : 187
PMU candidates          : 186
Confirmed fault points  : 186
Confirmed fault events  : 1
PMU1: ground_truth=0, TP=0, FP=0, FN=0, TN=500, precision=0.000, recall=0.000
PMU2: ground_truth=300, TP=186, FP=0, FN=114, TN=200, precision=1.000, recall=0.620
PMU3: ground_truth=0, TP=0, FP=0, FN=0, TN=500, precision=0.000, recall=0.000
==============================================
Results CSV : /home/ankesh/Documents/IIT_Jammu/DSSE-PMU/Development-directory/PDC_Detection_Results.csv
