Time (s),Voltage 1 (V),Current 1 (A),Voltage 2 (V),Current 2 (A),Voltage 3 (V),Current 3 (A),Peak (A),Signal Angle (deg),Delta t (s),Voltage 1 DFT Real,Voltage 1 DFT Imag,Voltage 1 DFT Magnitude,Voltage 1 DFT Phase (deg),Voltage 1 DFT RMS,Current 1 DFT Real,Current 1 DFT Imag,Current 1 DFT Magnitude,Current 1 DFT Phase (deg),Current 1 DFT RMS,PMU1 Sync Offset,PMU1 Mag Noise,PMU1 Phase Noise,PMU1 Clock Drift,PMU1 Packet Loss,PMU1 Bad Data,Voltage 2 DFT Real,Voltage 2 DFT Imag,Voltage 2 DFT Magnitude,Voltage 2 DFT Phase (deg),Voltage 2 DFT RMS,Current 2 DFT Real,Current 2 DFT Imag,Current 2 DFT Magnitude,Current 2 DFT Phase (deg),Current 2 DFT RMS,PMU2 Sync Offset,PMU2 Mag Noise,PMU2 Phase Noise,PMU2 Clock Drift,PMU2 Packet Loss,PMU2 Bad Data,Voltage 3 DFT Real,Voltage 3 DFT Imag,Voltage 3 DFT Magnitude,Voltage 3 DFT Phase (deg),Voltage 3 DFT RMS,Current 3 DFT Real,Current 3 DFT Imag,Current 3 DFT Magnitude,Current 3 DFT Phase (deg),Current 3 DFT RMS,PMU3 Sync Offset,PMU3 Mag Noise,PMU3 Phase Noise,PMU3 Clock Drift,PMU3 Packet Loss,PMU3 Bad Data
0.017,-262.93052317185777,-8.09016994374947,-191.0302069950536,-5.877852522924726,-59.250429399335594,-1.823090135364172,10,306.0,0.001,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,False,False
0.018000000000000002,-191.0302069950536,-5.877852522924726,-100.4305231718577,-3.090169943749468,41.90814335211781,1.2894813339113174,10,324.00000000000006,0.001,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,False,False
0.019,-100.43052317185797,-3.0901699437494763,-7.960204194457796e-14,-2.4492935982947065e-15,139.00453894580622,4.277062736794038,10,342.0,0.001,3.268496584496461e-13,-3250.0,324.99255108963484,-90.29865201055769,229.80970388562793,1.0658141036401503e-14,-100.0,10.00122602125425,-90.42231026877145,7.071067811865475,-0.41716978368020774,0.0012260212542507028,-0.005520485091252356,0.00038,False,False,1004.3052317185798,-3090.933677959249,325.0013431284795,-74.57039351697135,229.80970388562793,30.901699437494766,-95.10565162951534,9.997068098259508,-74.50779649470739,7.071067811865474,-2.114328066242511,-0.002931901740489702,-0.39384842846490475,0.00038,False,False,2260.348064148578,-2338.9093328064914,325.2681508386189,-45.02618110608928,229.9964156045647,69.54917120457162,-71.96644100943051,10.005840700363688,-45.43008466390138,7.076812787832759,0.7695995437148477,-0.002283922564753008,-0.22147330912994054,0.00038,False,False
0.02,-7.960204194457796e-14,-2.4492935982947065e-15,100.4305231718581,3.09016994374948,222.62465953253792,6.849989524078089,10,0.0,0.001,1004.3052317185793,-3090.933677959249,324.9947608265763,-72.5511885024323,229.80970388562793,30.90169943749475,-95.10565162951535,10.004212461950077,-72.63024966865875,7.071067811865475,-0.41716978368020774,0.0042124619500779085,-0.2134798849785442,0.0004,False,False,1910.3020699505385,-2629.3052317185784,324.9983637090318,-56.30941278912787,229.80970388562793,58.778525229247336,-80.90169943749473,9.996488421922159,-55.99923380178149,7.071067811865476,-2.114328066242511,-0.0035115780778438442,0.11469426446100804,0.0004,False,False,2865.6481043911404,-1528.1692977751818,324.77062018306964,-27.154023244114413,229.6436419853947,88.1737878274197,-47.020593777697904,9.99363265828736,-27.1320053772515,7.065958214935222,0.7695995437148477,0.0008587195643835963,0.16773671074298052,0.0004,False,False
0.021,100.4305231718581,3.09016994374948,191.0302069950539,5.877852522924735,284.6605760303292,8.75878695477936,10,18.0,0.001,1910.302069950538,-2629.305231718579,325.0027205685783,-54.43407786304218,229.80970388562793,58.77852522924732,-80.90169943749473,10.000002883978057,-54.324971047306185,7.071067811865475,-0.41716978368020774,2.8839780567809117e-06,0.09177873637401879,0.00042,False,False,2629.3052317185798,-1910.3020699505369,325.0033803294987,-38.31999733028453,229.80970388562793,80.90169943749476,-58.77852522924728,9.99526399698793,-38.022271576941016,7.071067811865475,-2.114328066242511,-0.004736003012069828,0.09163648930147762,0.00042,False,False,3193.1682162877314,-569.2890419945423,324.3541950508626,-9.455369963475267,229.35140364564194,98.2513297319302,-17.51658590752438,9.978186916431747,-9.267333993221799,7.056966266019753,0.7695995437148477,-0.0018704861828061248,0.07132718246269516,0.00042,False,False
0.022,191.0302069950537,5.877852522924729,262.9305231718578,8.090169943749473,319.0967511260537,9.818361573109343,10,36.0,0.001,2629.3052317185793,-1910.3020699505373,324.9875626230234,-36.12132997404498,229.80970388562793,80.90169943749474,-58.7785252292473,9.994924757210239,-36.49802032831468,7.071067811865475,-0.41716978368020774,-0.005075242789761779,-0.08129054463447127,0.00043999999999999996,False,False,3090.9336779592495,-1004.3052317185782,324.9994059592875,-19.965893602493427,229.80970388562793,95.10565162951536,-30.90169943749471,9.997275997547007,-19.92490634808948,7.071067811865475,-2.114328066242511,-0.002724002452993205,0.1889817181530117,0.00043999999999999996,False,False,3211.1476592190343,444.7791996624029,324.18813323536784,8.82553296456723,229.23020989564412,98.80454336058565,13.68551383576624,9.970495139046573,8.875960131269908,7.053237227558278,0.7695995437148477,-0.00428860680115248,0.22000195257083313,0.00043999999999999996,False,False
0.023,262.9305231718578,8.090169943749473,309.09336779592496,9.510565162951538,322.5934497408287,9.925952299717807,10,54.0,0.001,3090.933677959249,-1004.3052317185787,325.0011017865203,-18.426730933800922,229.80970388562793,95.10565162951535,-30.901699437494727,9.995823835532613,-18.361716840712507,7.071067811865475,-0.41716978368020774,-0.004176164467386138,0.054992942967693775,0.00046,False,False,3250.0,1.1226575225009583e-12,325.0078543552009,-1.8841945876672976,229.80970388562793,100.0,3.907985046680551e-14,9.999914235651117,-2.0423557453251373,7.071067811865475,-2.114328066242511,-8.576434888394146e-05,0.07151232091735142,0.00046,False,False,2917.8314566192325,1415.7294371154862,324.31698402691285,26.591056599417954,229.32542650513096,89.77942943443793,43.56090575739957,9.983853196688774,27.0822031927594,7.056166969388645,0.7695995437148477,0.004926170210292004,0.42952009129456337,0.00046,False,False
0.024,309.09336779592496,9.510565162951538,325.0,10.0,294.8107465088982,9.071099892581483,10,72.0,0.001,3249.9999999999995,4.405364961712621e-13,325.00415733132445,-0.6393849953731189,229.80970388562793,100.0,1.509903313490213e-14,9.999006545648594,-0.32992548813234285,7.071067811865475,-0.41716978368020774,-0.000993454351406334,0.08676429554785622,0.00048,False,False,3090.9336779592486,1004.3052317185802,324.99697914051666,15.637682883720574,229.80970388562793,95.10565162951535,30.901699437494784,10.009172239087544,15.770606701260702,7.071067811865476,-2.114328066242511,0.009172239087541351,-0.11554523249681144,0.00048,False,False,2341.642864258508,2249.431911009866,324.70238812887726,44.40961799544604,229.6000351263288,72.05054966949254,69.21328956953435,9.986526111292768,44.69099788802295,7.0646164654255035,0.7695995437148477,-0.004350307076256516,0.07153959278007617,0.00048,False,False
0.025,325.0,10.0,309.09336779592473,9.510565162951531,238.44168579728077,7.336667255300947,10,90.0,0.001,3090.9336779592486,1004.3052317185795,324.99857584121645,17.460622187568777,229.80970388562793,95.10565162951536,30.901699437494756,9.999074939639064,17.459732467614717,7.071067811865475,-0.41716978368020774,-0.0009250603609368481,-0.12359774870507939,0.0005,False,False,2629.3052317185784,1910.3020699505387,324.9944334986491,34.108469126208135,229.80970388562793,80.90169943749473,58.77852522924735,10.003110388612724,34.16867950772519,7.071067811865476,-2.114328066242511,0.0031103886127215098,0.28250757396767195,0.0005,False,False,1538.4301829876324,2865.058948154846,325.1894821919753,62.418750269846875,229.9492357492139,,,,,,0.7695995437148477,-0.005145718388782998,-0.007813350396361052,0.0005,True,False
0.026000000000000002,309.09336779592473,9.510565162951531,262.93052317185766,8.090169943749466,158.95134844219075,4.890810721298177,10,108.00000000000006,0.001,2629.3052317185784,1910.302069950538,325.0018456387194,35.88061039278754,229.80970388562793,80.90169943749473,58.77852522924732,9.99527799297427,35.28371519779763,7.071067811865475,-0.41716978368020774,-0.004722007025730234,-0.2996350185221774,0.0005200000000000001,False,False,1910.3020699505364,2629.3052317185798,324.9936920020067,51.784438865509586,229.80970388562793,58.77852522924728,80.90169943749476,9.995837858978499,52.02245593261717,7.071067811865475,-2.114328066242511,-0.004162141021501984,0.136263998859657,0.0005200000000000001,False,False,586.0544925919816,3202.921901909561,325.61784228295215,80.55598375768525,230.24083671255195,18.032445925907126,98.55144313567881,10.009787608799353,80.25800239281598,7.084333437309293,0.7695995437148477,-0.00897281861665476,-0.1431264203008444,0.0005200000000000001,False,False
